[31]	validation_0-error:0.014844	validation_0-rmse:0.113215	validation_0-logloss:0.064524	validation_1-error:0.01501	validation_1-rmse:0.113787	validation_1-logloss:0.064962
[32]	validation_0-error:0.014831	validation_0-rmse:0.112797	validation_0-logloss:0.063027	validation_1-error:0.015005	validation_1-rmse:0.113369	validation_1-logloss:0.06348
[33]	validation_0-error:0.014793	validation_0-rmse:0.11255	validation_0-logloss:0.061636	validation_1-error:0.014983	validation_1-rmse:0.113138	validation_1-logloss:0.0621
[34]	validation_0-error:0.014809	validation_0-rmse:0.112434	validation_0-logloss:0.060357	validation_1-error:0.014986	validation_1-rmse:0.113037	validation_1-logloss:0.060842
[35]	validation_0-error:0.01479	validation_0-rmse:0.112121	validation_0-logloss:0.059292	validation_1-error:0.014941	validation_1-rmse:0.11272	validation_1-logloss:0.059789
[36]	validation_0-error:0.014796	validation_0-rmse:0.112016	validation_0-logloss:0.058406	validation_1-error:0.014935	validation_1-rmse:0.112623	validation_1-logloss:0.058916
[37]	validation_0-error:0.014774	validation_0-rmse:0.111926	validation_0-logloss:0.057507	validation_1-error:0.014932	validation_1-rmse:0.112553	validation_1-logloss:0.058047
[38]	validation_0-error:0.014785	validation_0-rmse:0.111677	validation_0-logloss:0.056916	validation_1-error:0.014954	validation_1-rmse:0.11231	validation_1-logloss:0.057463
[39]	validation_0-error:0.014769	validation_0-rmse:0.11158	validation_0-logloss:0.056198	validation_1-error:0.014949	validation_1-rmse:0.112225	validation_1-logloss:0.056756
[40]	validation_0-error:0.014793	validation_0-rmse:0.111527	validation_0-logloss:0.055696	validation_1-error:0.014941	validation_1-rmse:0.112185	validation_1-logloss:0.056272
[41]	validation_0-error:0.014772	validation_0-rmse:0.111418	validation_0-logloss:0.055065	validation_1-error:0.01493	validation_1-rmse:0.11209	validation_1-logloss:0.055651
[42]	validation_0-error:0.014774	validation_0-rmse:0.111293	validation_0-logloss:0.05474	validation_1-error:0.01489	validation_1-rmse:0.11198	validation_1-logloss:0.055344
[43]	validation_0-error:0.014756	validation_0-rmse:0.111236	validation_0-logloss:0.054357	validation_1-error:0.014895	validation_1-rmse:0.111938	validation_1-logloss:0.054975
[44]	validation_0-error:0.01475	validation_0-rmse:0.111194	validation_0-logloss:0.053896	validation_1-error:0.01489	validation_1-rmse:0.111911	validation_1-logloss:0.054519
[45]	validation_0-error:0.014734	validation_0-rmse:0.111131	validation_0-logloss:0.053633	validation_1-error:0.014876	validation_1-rmse:0.111855	validation_1-logloss:0.054271
[46]	validation_0-error:0.014747	validation_0-rmse:0.111061	validation_0-logloss:0.05334	validation_1-error:0.014855	validation_1-rmse:0.111816	validation_1-logloss:0.054013
[47]	validation_0-error:0.014726	validation_0-rmse:0.111007	validation_0-logloss:0.053075	validation_1-error:0.014863	validation_1-rmse:0.111766	validation_1-logloss:0.05376
[48]	validation_0-error:0.014707	validation_0-rmse:0.110894	validation_0-logloss:0.052831	validation_1-error:0.014844	validation_1-rmse:0.111681	validation_1-logloss:0.053548
[49]	validation_0-error:0.014697	validation_0-rmse:0.110893	validation_0-logloss:0.05259	validation_1-error:0.014839	validation_1-rmse:0.111677	validation_1-logloss:0.053307
[50]	validation_0-error:0.01467	validation_0-rmse:0.110837	validation_0-logloss:0.052478	validation_1-error:0.014839	validation_1-rmse:0.111634	validation_1-logloss:0.053209
[51]	validation_0-error:0.014638	validation_0-rmse:0.11077	validation_0-logloss:0.052354	validation_1-error:0.014831	validation_1-rmse:0.111575	validation_1-logloss:0.053089
[52]	validation_0-error:0.0146	validation_0-rmse:0.110722	validation_0-logloss:0.052168	validation_1-error:0.014812	validation_1-rmse:0.111549	validation_1-logloss:0.052934
[53]	validation_0-error:0.014581	validation_0-rmse:0.110724	validation_0-logloss:0.052115	validation_1-error:0.014806	validation_1-rmse:0.111543	validation_1-logloss:0.052882
[54]	validation_0-error:0.014584	validation_0-rmse:0.110675	validation_0-logloss:0.05194	validation_1-error:0.014804	validation_1-rmse:0.111501	validation_1-logloss:0.05271
[55]	validation_0-error:0.014571	validation_0-rmse:0.110629	validation_0-logloss:0.05184	validation_1-error:0.014793	validation_1-rmse:0.111471	validation_1-logloss:0.052644
[56]	validation_0-error:0.014568	validation_0-rmse:0.110569	validation_0-logloss:0.051671	validation_1-error:0.014777	validation_1-rmse:0.111417	validation_1-logloss:0.052466
[57]	validation_0-error:0.014573	validation_0-rmse:0.110535	validation_0-logloss:0.051598	validation_1-error:0.014777	validation_1-rmse:0.111389	validation_1-logloss:0.052394
[58]	validation_0-error:0.014571	validation_0-rmse:0.110537	validation_0-logloss:0.051566	validation_1-error:0.014782	validation_1-rmse:0.111386	validation_1-logloss:0.052362
[59]	validation_0-error:0.014576	validation_0-rmse:0.11051	validation_0-logloss:0.051554	validation_1-error:0.014766	validation_1-rmse:0.111366	validation_1-logloss:0.052361
[60]	validation_0-error:0.014533	validation_0-rmse:0.110479	validation_0-logloss:0.051536	validation_1-error:0.014734	validation_1-rmse:0.111349	validation_1-logloss:0.052354
[61]	validation_0-error:0.014536	validation_0-rmse:0.110472	validation_0-logloss:0.05156	validation_1-error:0.014739	validation_1-rmse:0.111343	validation_1-logloss:0.052383
[62]	validation_0-error:0.014517	validation_0-rmse:0.110441	validation_0-logloss:0.051524	validation_1-error:0.014723	validation_1-rmse:0.111316	validation_1-logloss:0.05235
[63]	validation_0-error:0.014517	validation_0-rmse:0.110408	validation_0-logloss:0.051489	validation_1-error:0.014726	validation_1-rmse:0.1113	validation_1-logloss:0.052336
[64]	validation_0-error:0.014517	validation_0-rmse:0.110388	validation_0-logloss:0.05137	validation_1-error:0.014713	validation_1-rmse:0.111277	validation_1-logloss:0.052208
[65]	validation_0-error:0.014517	validation_0-rmse:0.110397	validation_0-logloss:0.051373	validation_1-error:0.014707	validation_1-rmse:0.111288	validation_1-logloss:0.052225
