[74]	validation_0-error:0.014571	validation_0-rmse:0.110277	validation_0-logloss:0.050982	validation_1-error:0.014745	validation_1-rmse:0.111371	validation_1-logloss:0.0523
[75]	validation_0-error:0.014568	validation_0-rmse:0.110236	validation_0-logloss:0.050933	validation_1-error:0.01475	validation_1-rmse:0.111343	validation_1-logloss:0.05226
[76]	validation_0-error:0.014544	validation_0-rmse:0.110206	validation_0-logloss:0.050906	validation_1-error:0.014747	validation_1-rmse:0.111329	validation_1-logloss:0.052263
[77]	validation_0-error:0.014549	validation_0-rmse:0.110175	validation_0-logloss:0.050881	validation_1-error:0.014758	validation_1-rmse:0.11131	validation_1-logloss:0.052254
[78]	validation_0-error:0.014541	validation_0-rmse:0.110168	validation_0-logloss:0.05088	validation_1-error:0.014753	validation_1-rmse:0.111306	validation_1-logloss:0.05226
[79]	validation_0-error:0.014512	validation_0-rmse:0.110115	validation_0-logloss:0.050833	validation_1-error:0.014761	validation_1-rmse:0.111283	validation_1-logloss:0.052236
[80]	validation_0-error:0.014522	validation_0-rmse:0.110122	validation_0-logloss:0.050844	validation_1-error:0.014753	validation_1-rmse:0.111286	validation_1-logloss:0.052245
[81]	validation_0-error:0.014525	validation_0-rmse:0.110138	validation_0-logloss:0.050863	validation_1-error:0.014753	validation_1-rmse:0.111301	validation_1-logloss:0.052264
[82]	validation_0-error:0.014517	validation_0-rmse:0.110117	validation_0-logloss:0.050829	validation_1-error:0.014758	validation_1-rmse:0.111284	validation_1-logloss:0.052243
[83]	validation_0-error:0.014517	validation_0-rmse:0.110117	validation_0-logloss:0.050829	validation_1-error:0.014758	validation_1-rmse:0.111284	validation_1-logloss:0.052243
[84]	validation_0-error:0.014522	validation_0-rmse:0.110131	validation_0-logloss:0.050846	validation_1-error:0.014761	validation_1-rmse:0.111297	validation_1-logloss:0.052259
[85]	validation_0-error:0.014533	validation_0-rmse:0.110129	validation_0-logloss:0.050816	validation_1-error:0.01475	validation_1-rmse:0.11131	validation_1-logloss:0.052265
[86]	validation_0-error:0.01452	validation_0-rmse:0.110099	validation_0-logloss:0.05079	validation_1-error:0.014739	validation_1-rmse:0.111296	validation_1-logloss:0.052254
[87]	validation_0-error:0.014522	validation_0-rmse:0.110082	validation_0-logloss:0.050782	validation_1-error:0.014737	validation_1-rmse:0.111277	validation_1-logloss:0.052253
[88]	validation_0-error:0.01452	validation_0-rmse:0.11008	validation_0-logloss:0.050785	validation_1-error:0.014742	validation_1-rmse:0.111272	validation_1-logloss:0.052258
[89]	validation_0-error:0.014525	validation_0-rmse:0.11009	validation_0-logloss:0.050797	validation_1-error:0.014742	validation_1-rmse:0.111281	validation_1-logloss:0.05227
[90]	validation_0-error:0.014506	validation_0-rmse:0.110059	validation_0-logloss:0.050751	validation_1-error:0.014734	validation_1-rmse:0.111258	validation_1-logloss:0.052233
[91]	validation_0-error:0.014498	validation_0-rmse:0.110045	validation_0-logloss:0.050722	validation_1-error:0.014764	validation_1-rmse:0.111248	validation_1-logloss:0.052208
[92]	validation_0-error:0.014501	validation_0-rmse:0.110049	validation_0-logloss:0.050726	validation_1-error:0.014758	validation_1-rmse:0.111251	validation_1-logloss:0.052212
[93]	validation_0-error:0.014495	validation_0-rmse:0.110016	validation_0-logloss:0.050686	validation_1-error:0.014747	validation_1-rmse:0.111234	validation_1-logloss:0.052187
